phenotype,celltype
CD15-CK-CD3-CD11c-CD20-CD163-,other
CD15-CK-CD3-CD11c-CD20-CD163+,MacCD163
CD15-CK-CD3-CD11c-CD20+CD163-,B
CD15-CK-CD3-CD11c-CD20+CD163+,B
CD15-CK-CD3-CD11c+CD20-CD163-,DC
CD15-CK-CD3-CD11c+CD20-CD163+,MacCD163
CD15-CK-CD3-CD11c+CD20+CD163-,DC
CD15-CK-CD3-CD11c+CD20+CD163+,B
CD15-CK-CD3+CD11c-CD20-CD163-,T
CD15-CK-CD3+CD11c-CD20-CD163+,T
CD15-CK-CD3+CD11c-CD20+CD163-,BnT
CD15-CK-CD3+CD11c-CD20+CD163+,BnT
CD15-CK-CD3+CD11c+CD20-CD163-,T
CD15-CK-CD3+CD11c+CD20-CD163+,T
CD15-CK-CD3+CD11c+CD20+CD163-,other
CD15-CK-CD3+CD11c+CD20+CD163+,other
CD15-CK+CD3-CD11c-CD20-CD163-,Tumor
CD15-CK+CD3-CD11c-CD20-CD163+,MacCD163
CD15-CK+CD3-CD11c-CD20+CD163-,Tumor
CD15-CK+CD3-CD11c-CD20+CD163+,MacCD163
CD15-CK+CD3-CD11c+CD20-CD163-,DC
CD15-CK+CD3-CD11c+CD20-CD163+,MacCD163
CD15-CK+CD3-CD11c+CD20+CD163-,other
CD15-CK+CD3-CD11c+CD20+CD163+,other
CD15-CK+CD3+CD11c-CD20-CD163-,T
CD15-CK+CD3+CD11c-CD20-CD163+,T
CD15-CK+CD3+CD11c-CD20+CD163-,T
CD15-CK+CD3+CD11c-CD20+CD163+,T
CD15-CK+CD3+CD11c+CD20-CD163-,T
CD15-CK+CD3+CD11c+CD20-CD163+,T
CD15-CK+CD3+CD11c+CD20+CD163-,other
CD15-CK+CD3+CD11c+CD20+CD163+,other
CD15+CK-CD3-CD11c-CD20-CD163-,Neutrophil
CD15+CK-CD3-CD11c-CD20-CD163+,MacCD163
CD15+CK-CD3-CD11c-CD20+CD163-,B
CD15+CK-CD3-CD11c-CD20+CD163+,other
CD15+CK-CD3-CD11c+CD20-CD163-,DC
CD15+CK-CD3-CD11c+CD20-CD163+,other
CD15+CK-CD3-CD11c+CD20+CD163-,other
CD15+CK-CD3-CD11c+CD20+CD163+,other
CD15+CK-CD3+CD11c-CD20-CD163-,T
CD15+CK-CD3+CD11c-CD20-CD163+,T
CD15+CK-CD3+CD11c-CD20+CD163-,BnT
CD15+CK-CD3+CD11c-CD20+CD163+,other
CD15+CK-CD3+CD11c+CD20-CD163-,T
CD15+CK-CD3+CD11c+CD20-CD163+,other
CD15+CK-CD3+CD11c+CD20+CD163-,other
CD15+CK-CD3+CD11c+CD20+CD163+,other
CD15+CK+CD3-CD11c-CD20-CD163-,Tumor_CD15
CD15+CK+CD3-CD11c-CD20-CD163+,MacCD163
CD15+CK+CD3-CD11c-CD20+CD163-,Tumor_CD15
CD15+CK+CD3-CD11c-CD20+CD163+,MacCD163
CD15+CK+CD3-CD11c+CD20-CD163-,DC
CD15+CK+CD3-CD11c+CD20-CD163+,MacCD163
CD15+CK+CD3-CD11c+CD20+CD163-,other
CD15+CK+CD3-CD11c+CD20+CD163+,other
CD15+CK+CD3+CD11c-CD20-CD163-,T
CD15+CK+CD3+CD11c-CD20-CD163+,T
CD15+CK+CD3+CD11c-CD20+CD163-,other
CD15+CK+CD3+CD11c-CD20+CD163+,other
CD15+CK+CD3+CD11c+CD20-CD163-,other
CD15+CK+CD3+CD11c+CD20-CD163+,other
CD15+CK+CD3+CD11c+CD20+CD163-,other
CD15+CK+CD3+CD11c+CD20+CD163+,other
