phenotype,celltype
PD1-CK-Ki67-GB-CD8-PDL1-,other
PD1-CK-Ki67-GB-CD8-PDL1+,PDL1
PD1-CK-Ki67-GB-CD8+PDL1-,CD8
PD1-CK-Ki67-GB-CD8+PDL1+,CD8_PDL1
PD1-CK-Ki67-GB+CD8-PDL1-,GB
PD1-CK-Ki67-GB+CD8-PDL1+,other
PD1-CK-Ki67-GB+CD8+PDL1-,CD8_GB
PD1-CK-Ki67-GB+CD8+PDL1+,CD8_GB_PDL1
PD1-CK-Ki67+GB-CD8-PDL1-,Ki67
PD1-CK-Ki67+GB-CD8-PDL1+,other
PD1-CK-Ki67+GB-CD8+PDL1-,CD8_Ki67
PD1-CK-Ki67+GB-CD8+PDL1+,CD8_Ki67_PDL1
PD1-CK-Ki67+GB+CD8-PDL1-,other
PD1-CK-Ki67+GB+CD8-PDL1+,other
PD1-CK-Ki67+GB+CD8+PDL1-,CD8_Ki67_GB
PD1-CK-Ki67+GB+CD8+PDL1+,CD8_Ki67_GB_PDL1
PD1-CK+Ki67-GB-CD8-PDL1-,Tumor
PD1-CK+Ki67-GB-CD8-PDL1+,Tumor_PDL1
PD1-CK+Ki67-GB-CD8+PDL1-,CD8
PD1-CK+Ki67-GB-CD8+PDL1+,CD8_PDL1
PD1-CK+Ki67-GB+CD8-PDL1-,Tumor
PD1-CK+Ki67-GB+CD8-PDL1+,Tumor_PDL1
PD1-CK+Ki67-GB+CD8+PDL1-,CD8_GB
PD1-CK+Ki67-GB+CD8+PDL1+,CD8_GB_PDL1
PD1-CK+Ki67+GB-CD8-PDL1-,Tumor_Ki67
PD1-CK+Ki67+GB-CD8-PDL1+,Tumor_Ki67_PDL1
PD1-CK+Ki67+GB-CD8+PDL1-,CD8_Ki67
PD1-CK+Ki67+GB-CD8+PDL1+,CD8_Ki67_PDL1
PD1-CK+Ki67+GB+CD8-PDL1-,Tumor_Ki67
PD1-CK+Ki67+GB+CD8-PDL1+,Tumor_Ki67_PDL1
PD1-CK+Ki67+GB+CD8+PDL1-,CD8_Ki67_GB
PD1-CK+Ki67+GB+CD8+PDL1+,CD8_Ki67_GB_PDL1
PD1+CK-Ki67-GB-CD8-PDL1-,PD1
PD1+CK-Ki67-GB-CD8-PDL1+,other
PD1+CK-Ki67-GB-CD8+PDL1-,CD8_PD1
PD1+CK-Ki67-GB-CD8+PDL1+,CD8_PD1_PDL1
PD1+CK-Ki67-GB+CD8-PDL1-,other
PD1+CK-Ki67-GB+CD8-PDL1+,other
PD1+CK-Ki67-GB+CD8+PDL1-,CD8_PD1_GB
PD1+CK-Ki67-GB+CD8+PDL1+,CD8_PD1_GB_PDL1
PD1+CK-Ki67+GB-CD8-PDL1-,other
PD1+CK-Ki67+GB-CD8-PDL1+,other
PD1+CK-Ki67+GB-CD8+PDL1-,CD8_PD1_Ki67
PD1+CK-Ki67+GB-CD8+PDL1+,CD8_PD1_Ki67_PDL1
PD1+CK-Ki67+GB+CD8-PDL1-,other
PD1+CK-Ki67+GB+CD8-PDL1+,other
PD1+CK-Ki67+GB+CD8+PDL1-,CD8_PD1_Ki67_GB
PD1+CK-Ki67+GB+CD8+PDL1+,other
PD1+CK+Ki67-GB-CD8-PDL1-,Tumor_PD1
PD1+CK+Ki67-GB-CD8-PDL1+,Tumor_PDL1
PD1+CK+Ki67-GB-CD8+PDL1-,CD8_PD1
PD1+CK+Ki67-GB-CD8+PDL1+,CD8_PD1_PDL1
PD1+CK+Ki67-GB+CD8-PDL1-,Tumor_PD1
PD1+CK+Ki67-GB+CD8-PDL1+,Tumor_PDL1
PD1+CK+Ki67-GB+CD8+PDL1-,CD8_PD1_GB
PD1+CK+Ki67-GB+CD8+PDL1+,CD8_PD1_GB_PDL1
PD1+CK+Ki67+GB-CD8-PDL1-,Tumor_PD1_Ki67
PD1+CK+Ki67+GB-CD8-PDL1+,Tumor_Ki67_PDL1
PD1+CK+Ki67+GB-CD8+PDL1-,CD8_PD1_Ki67
PD1+CK+Ki67+GB-CD8+PDL1+,CD8_PD1_Ki67_PDL1
PD1+CK+Ki67+GB+CD8-PDL1-,Tumor_PD1_Ki67
PD1+CK+Ki67+GB+CD8-PDL1+,Tumor_Ki67_PDL1
PD1+CK+Ki67+GB+CD8+PDL1-,CD8_PD1_Ki67_GB
PD1+CK+Ki67+GB+CD8+PDL1+,other
